2017-07-20 08:40:06,789 | INFO | DefaultCamelContext.java 3883 | Route: route1 started and consuming from: file://input?noop=true
2017-07-20 08:40:06,790 | INFO | DefaultCamelContext.java 3073 | Total 1 routes, of which 1 are started.
2017-07-20 08:40:06,794 | INFO | DefaultCamelContext.java 3074 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) started in 0.408 seconds
2017-07-20 08:40:07,820 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500558005692-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/Employee.json, CamelFileLastModified=1500526628000, CamelFileLength=68, CamelFileName=Employee.json, CamelFileNameConsumed=Employee.json, CamelFileNameOnly=Employee.json, CamelFileParent=input, CamelFilePath=input/Employee.json, CamelFileRelativePath=Employee.json}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[Employee.json]]]
2017-07-20 08:40:07,862 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500558005692-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/Index.html, CamelFileLastModified=1492777602000, CamelFileLength=123, CamelFileName=Index.html, CamelFileNameConsumed=Index.html, CamelFileNameOnly=Index.html, CamelFileParent=input, CamelFilePath=input/Index.html, CamelFileRelativePath=Index.html}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[Index.html]]]
2017-07-20 08:40:07,866 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500558005692-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/input.txt, CamelFileLastModified=1500526501000, CamelFileLength=18, CamelFileName=input.txt, CamelFileNameConsumed=input.txt, CamelFileNameOnly=input.txt, CamelFileParent=input, CamelFilePath=input/input.txt, CamelFileRelativePath=input.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[input.txt]]]
2017-07-20 08:40:11,801 | INFO | CamelTestSupport.java 388 | ********************************************************************************
2017-07-20 08:40:11,803 | INFO | CamelTestSupport.java 389 | Testing done: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:40:11,803 | INFO | CamelTestSupport.java 390 | Took: 5.005 seconds (5005 millis)
2017-07-20 08:40:11,804 | INFO | CamelTestSupport.java 419 | ********************************************************************************
